---------
60e+03
16 	 5.592405e+06
24 	 8.388608e+06
32 	 1.032444e+07
40 	 1.864135e+07
48 	 2.516582e+07
56 	 2.936013e+07
64 	 2.236962e+07
72 	 3.355443e+07
80 	 2.581110e+07
88 	 4.613734e+07
96 	 3.097332e+07
104 	 4.846751e+07
112 	 5.872026e+07
120 	 6.291456e+07
128 	 6.710886e+07
136 	 4.387887e+07
144 	 4.645998e+07
152 	 4.904109e+07
160 	 8.388608e+07
168 	 8.808038e+07
176 	 5.678442e+07
184 	 8.575022e+07
192 	 1.006633e+08
200 	 1.048576e+08
208 	 7.270127e+07
216 	 1.006633e+08
224 	 1.043916e+08
232 	 1.216348e+08
240 	 8.388608e+07
248 	 8.668228e+07
256 	 8.259552e+07
264 	 1.230329e+08
272 	 8.775775e+07
280 	 9.033886e+07
288 	 1.006633e+08
296 	 1.551892e+08
304 	 1.593836e+08
312 	 1.635779e+08
320 	 1.491308e+08
328 	 1.058255e+08
336 	 1.084066e+08
344 	 1.109877e+08
352 	 1.135688e+08
360 	 1.677722e+08
368 	 1.929380e+08
376 	 1.971323e+08
384 	 1.342177e+08
392 	 2.055209e+08
400 	 2.097152e+08
408 	 1.426063e+08
416 	 1.454025e+08
424 	 1.481987e+08
432 	 1.509949e+08
440 	 1.537911e+08
448 	 1.565873e+08
456 	 2.390753e+08
464 	 2.432696e+08
472 	 1.164536e+08
480 	 1.677722e+08
488 	 1.279263e+08
496 	 1.600288e+08
504 	 2.348810e+08
512 	 1.651910e+08
520 	 1.677722e+08
528 	 1.703533e+08
536 	 2.810184e+08
544 	 1.901418e+08
552 	 1.929380e+08
560 	 1.806777e+08
568 	 1.832588e+08
576 	 2.684355e+08
584 	 1.884210e+08
592 	 3.103785e+08
600 	 2.097152e+08
608 	 3.187671e+08
616 	 3.229614e+08
624 	 2.181038e+08
632 	 2.039077e+08
640 	 2.064888e+08
648 	 2.264924e+08
656 	 2.116510e+08
664 	 2.142321e+08
672 	 2.168133e+08
